studytime,scores
6.6,87.6
0.7,49.2
3.1,57.4
2.6,51.2
7.5,81.6
6.9,88.0
9.0,94.9
1.3,55.6
4.5,53.2
0.8,53.3
2.6,61.3
5.3,68.2
0.8,45.2
2.4,57.0
6.7,88.8
5.7,67.2
2.6,55.4
6.1,83.7
8.2,83.3
0.6,45.8
8.2,86.6
7.1,73.1
3.7,64.8
2.0,47.7
9.6,98.3
3.7,63.5
1.4,65.7
1.4,53.7
8.6,96.2
6.2,68.2
8.2,85.3
7.4,83.9
5.6,83.5
9.7,83.4
4.1,71.4
5.7,77.0
8.4,96.2
6.4,81.3
8.7,88.8
6.0,71.9
7.2,73.5
0.9,50.7
2.7,57.3
3.2,73.1
1.3,47.8
2.7,60.4
1.5,43.1
3.1,58.1
6.5,79.1
4.0,69.9
4.0,73.7
2.5,57.2
3.0,53.3
9.4,94.7
6.7,81.6
6.3,79.4
2.1,51.3
7.4,88.8
2.1,56.0
4.1,69.7
9.9,100.0
6.6,81.7
5.8,75.7
7.0,92.9
8.5,89.0
7.9,82.7
2.7,59.2
0.8,57.9
3.5,63.2
3.0,63.1
2.5,64.7
9.5,89.4
8.8,78.6
3.5,64.3
6.7,79.9
4.3,62.9
9.2,96.2
4.9,73.1
3.0,54.0
2.8,62.1
5.8,72.8
3.0,51.1
6.1,78.2
9.0,89.7
4.3,62.0
2.6,61.1
10.0,97.9
5.3,68.0
1.4,54.4
0.9,55.6
1.5,48.2
6.5,79.8
8.0,85.0
4.5,81.1
1.1,39.3
4.1,69.7
10.0,93.2
5.5,71.9
9.7,100.0
8.7,88.4
